Gen# BestVB     BestVDB     MaxDiff      Gain        #GenBeenBest
1     0.986    0.952   4.2019817208e-06  0.089168834342  1
2     2.28    4.05   4.3135833204e-05  0.0093737652252  1
3     4.4    2.89   0.00385995678575  5.97722597848  1
4     4.4    2.89   0.00385995678575  5.97722597848  2
5     4.4    2.89   0.00385995678575  5.97722597848  3
6     4.4    2.89   0.00385995678575  5.97722597848  4
7     4.4    2.89   0.00385995678575  5.97722597848  5
8     4.39875    2.81875   0.00551566316307  185.404820472  1
9     4.34125    2.925625   2.84431257415  663.986411618  1
10     4.34125    2.925625   2.84431257415  663.986411618  2
11     4.328125    3.525625   2.9433857022  652.716213815  1
12     4.328125    3.525625   2.9433857022  652.716213815  2
13     4.328125    3.525625   2.9433857022  652.716213815  3
14     4.328125    3.525625   2.9433857022  652.716213815  4
15     4.328125    3.525625   2.9433857022  652.716213815  5
16     4.328125    3.525625   2.9433857022  652.716213815  6
17     4.328125    3.525625   2.9433857022  652.716213815  7
18     4.328125    3.525625   2.9433857022  652.716213815  8
19     4.328125    3.525625   2.9433857022  652.716213815  9
20     4.328125    3.525625   2.9433857022  652.716213815  10
21     4.328125    3.525625   2.9433857022  652.716213815  11
22     4.328125    3.525625   2.9433857022  652.716213815  12
23     4.328125    3.525625   2.9433857022  652.716213815  13
24     4.328125    3.525625   2.9433857022  652.716213815  14
25     4.328125    3.525625   2.9433857022  652.716213815  15
